week,port,region,shipping_mode,avg_wait_days,disruption_index,freight_rate_usd,fuel_price_usd,backlog_teu,on_time_pct
2021-06-13,New York/New Jersey,Asia,tanker,4.95,19.06,2356.61,1.48,15794,74.38
2024-07-14,Antwerp,Africa,ro-ro,0.2,64.96,2002.24,3.51,21533,70.11
2017-04-02,Shanghai,Middle East,container,2.96,21.82,2157.92,1.94,16332,77.53
2018-01-21,Santos,Europe,bulk,0.77,50.35,2100.18,3.41,25127,73.35
2021-04-11,Colombo,North America,ro-ro,5.72,64.87,3115.82,2.38,21115,59.1
2016-03-20,Busan,Middle East,ro-ro,3.3,17.65,1953.62,1.81,18364,78.1
2019-03-10,Long Beach,Europe,container,2.02,25.69,2127.54,3.05,17616,78.25
2023-04-23,Shanghai,Asia,bulk,2.17,18.83,2362.14,3.3,7637,80.01
2016-08-21,Houston,North America,tanker,4.03,29.77,1557.95,2.53,21200,73.01
2022-12-11,New York/New Jersey,Asia,ro-ro,3.41,45.21,3687.98,2.26,18601,69.62
2023-03-26,Manzanillo,Europe,tanker,2.97,21.82,2196.17,2.38,15948,77.51
2018-08-12,Long Beach,North America,ro-ro,1.09,18.14,1936.55,2.31,16664,82.38
2021-09-19,Ningbo,Europe,bulk,4.47,20.97,1401.32,2.24,12379,74.77
2021-11-07,Felixstowe,Middle East,ro-ro,4.28,39.29,1184.38,1.54,25344,69.65
2018-02-25,Felixstowe,Asia,ro-ro,5.24,33.88,2312.45,3.18,15369,69.36
2015-03-15,Durban,South America,bulk,3.54,38.13,2002.66,1.79,15887,71.48
2016-07-10,Colombo,South America,bulk,1.33,3.07,1520.17,2.23,5039,86.42
2021-05-09,Singapore,North America,bulk,4.27,21.98,1591.49,2.69,12276,74.87
2023-12-31,Houston,Middle East,tanker,3.66,21.45,2540.94,2.45,16250,76.24
2017-03-26,Felixstowe,Asia,container,4.13,46.96,2637.31,2.72,18034,67.65
2023-11-05,Houston,Africa,ro-ro,0.42,57.93,4363.11,3.04,23946,71.78
2016-11-27,Long Beach,Europe,bulk,6.16,51.64,1843.36,2.64,25701,62.19
2023-04-02,Durban,Europe,ro-ro,2.98,21.82,2054.07,2.75,6256,77.49
2019-03-31,Busan,Europe,bulk,6.45,31.58,1593.1,2.44,18502,67.63
2015-04-12,Busan,Asia,container,3.44,50.76,1914.22,2.64,19802,67.89
2020-12-06,Ningbo,South America,container,3.12,28.72,2225.62,2.48,20867,75.14
2024-10-20,Valencia,Middle East,ro-ro,8.78,49.25,3120.3,1.77,19018,57.66
2021-11-28,Busan,South America,ro-ro,4.91,30.72,1814.46,2.05,18799,70.96
2021-08-01,Savannah,Europe,ro-ro,3.0,43.07,2842.04,2.59,9183,71.08
2023-05-28,Busan,Europe,bulk,4.39,15.49,3023.31,3.34,14169,76.57
2023-07-23,Jebel Ali,Asia,ro-ro,4.25,37.95,3019.52,2.82,21025,70.11
2020-07-26,Tanjung Priok,North America,container,3.42,48.37,3277.45,2.33,22386,68.65
2017-01-15,New York/New Jersey,Africa,container,4.03,20.54,2034.94,1.01,13333,75.78
2023-01-29,Savannah,Middle East,container,2.52,60.14,2484.04,2.96,36611,66.92
2023-09-17,Manzanillo,South America,container,2.13,7.28,1424.56,1.94,17993,83.56
2020-09-06,Felixstowe,Europe,bulk,4.19,6.56,3014.54,1.38,19200,79.65
2023-12-03,Durban,Middle East,container,3.16,24.92,2187.54,3.69,14444,76.2
2018-11-04,Santos,North America,tanker,0.69,14.88,2080.56,2.44,22912,84.16
2024-02-11,Felixstowe,Africa,ro-ro,1.56,18.02,2442.32,2.35,14625,81.47
2015-02-22,Busan,Europe,tanker,4.16,65.77,3808.72,1.76,25104,61.95
2020-04-05,Shanghai,Asia,ro-ro,1.75,60.22,2528.23,1.95,23814,68.43
2019-09-29,Los Angeles,Middle East,container,3.37,63.05,2934.25,2.4,31812,64.35
2015-04-19,Los Angeles,Europe,tanker,5.16,21.63,2002.15,1.81,5821,73.19
2021-03-28,Singapore,Europe,ro-ro,0.2,29.18,2025.99,2.05,23691,80.85
2019-09-29,Durban,Middle East,bulk,5.58,21.41,1978.31,1.69,19409,72.42
2022-09-18,Long Beach,South America,ro-ro,3.62,28.31,1924.23,2.21,15671,74.27
2017-07-09,Jebel Ali,Africa,bulk,3.42,30.56,2122.86,1.78,21014,73.99
2022-11-27,Singapore,South America,bulk,2.87,38.17,1954.27,2.77,25863,72.81
2023-07-30,Hamburg,North America,bulk,2.45,1.36,1863.91,2.59,12546,84.69
2024-11-24,Savannah,Africa,ro-ro,5.82,12.21,1950.46,2.59,5993,74.7
2020-02-09,Durban,Europe,tanker,2.35,43.49,1646.95,1.99,17236,72.25
2018-12-30,New York/New Jersey,North America,container,3.42,8.68,2825.84,2.37,16265,80.56
2023-07-30,Los Angeles,Africa,bulk,4.11,36.37,2453.7,2.29,17823,70.87
2015-07-19,Tanjung Priok,Africa,container,0.58,24.31,1656.91,1.79,18199,81.55
2022-07-03,Los Angeles,Africa,bulk,2.01,24.27,897.34,3.18,15833,78.7
2023-11-26,Busan,Europe,bulk,2.23,42.23,2724.03,2.86,18380,72.87
2019-05-12,Ningbo,Europe,bulk,6.14,17.35,1700.01,2.16,21225,72.52
2022-06-05,Shanghai,Africa,container,4.09,15.59,1939.23,2.29,11289,77.14
2020-05-24,New York/New Jersey,Europe,container,1.95,34.37,1559.8,2.06,24010,75.79
2017-01-08,Savannah,Middle East,container,0.3,61.9,2185.7,1.17,33648,70.83
2017-02-05,Houston,Asia,tanker,4.65,41.64,1577.81,2.3,14074,68.21
2018-07-15,New York/New Jersey,North America,ro-ro,3.75,9.11,1590.53,2.99,21325,79.77
2022-02-06,Antwerp,Middle East,container,2.88,5.27,842.6,2.98,15914,82.66
2024-08-18,Los Angeles,Middle East,container,6.74,27.2,2983.59,4.43,13820,68.36
2024-07-21,New York/New Jersey,Europe,ro-ro,4.69,20.58,1759.81,3.12,18660,74.45
2022-05-15,Singapore,Africa,ro-ro,4.15,28.34,2109.64,2.61,17330,73.2
2018-02-25,Rotterdam,Asia,container,2.01,26.57,2685.52,2.73,21737,78.01
2018-07-01,Colombo,Africa,container,3.15,13.39,2229.56,2.65,19328,79.68
2017-04-23,Singapore,Asia,ro-ro,0.2,37.02,2757.42,3.2,21926,78.49
2015-02-08,Rotterdam,South America,tanker,2.38,18.59,1572.56,1.57,17621,79.66
2017-05-21,Antwerp,South America,container,4.42,56.69,3036.93,3.09,30694,64.15
2015-06-14,Manzanillo,South America,bulk,6.47,7.28,1690.54,2.88,14753,74.88
2019-03-31,Busan,North America,bulk,1.55,49.39,1790.01,2.0,29354,72.08
2015-08-02,Singapore,Europe,bulk,0.37,24.2,1988.77,2.16,17239,82.0
2016-08-21,Houston,Asia,tanker,1.26,55.93,1738.85,1.92,24081,70.7
2024-06-16,Antwerp,North America,tanker,0.91,6.68,1844.32,2.24,13594,86.18
2020-10-11,Valencia,Africa,ro-ro,5.48,13.91,1934.24,2.39,18152,74.87
2023-07-23,Manzanillo,Middle East,bulk,0.2,9.07,1884.19,2.48,15394,86.88
2019-12-01,Rotterdam,Europe,tanker,6.63,27.6,2055.12,3.28,17878,68.46
2022-09-18,Savannah,South America,tanker,0.2,60.43,3843.43,1.92,22159,71.47
2018-04-01,Antwerp,Africa,ro-ro,0.44,34.83,2274.84,2.25,9861,78.67
2023-07-02,Valencia,Middle East,tanker,4.08,6.88,1891.01,2.44,19757,79.78
2021-04-04,Tanjung Priok,North America,ro-ro,1.87,9.33,964.46,3.09,8852,83.46
2023-06-04,Antwerp,South America,tanker,2.19,11.29,1849.71,2.9,7648,82.23
2022-05-01,New York/New Jersey,Middle East,bulk,2.3,36.87,3423.26,1.68,9767,74.34
2015-08-30,Manzanillo,Asia,ro-ro,2.43,33.21,2784.67,2.53,15619,75.18
2020-10-04,Tanjung Priok,Africa,tanker,2.42,11.58,2516.1,2.23,7516,81.69
2022-10-23,Los Angeles,North America,bulk,6.93,35.16,2041.48,2.24,16083,65.59
2021-05-02,Felixstowe,Europe,tanker,3.29,16.18,1942.07,2.73,3953,78.57
2019-10-27,New York/New Jersey,Europe,tanker,4.66,12.44,1505.14,2.1,14941,76.95
2022-04-17,Houston,Asia,container,0.2,21.96,2088.21,2.35,20184,83.01
2015-03-08,Singapore,Africa,container,6.01,18.67,2300.11,2.3,18329,72.38
2021-06-13,Antwerp,Middle East,tanker,3.51,34.77,2739.05,1.89,20298,72.55
2019-07-28,Durban,North America,ro-ro,2.98,30.94,1680.48,3.06,13752,74.76
2020-07-26,Tanjung Priok,Europe,bulk,4.79,6.76,1939.0,3.36,12637,78.39
2017-01-08,Durban,Asia,container,4.02,53.09,1479.57,3.22,26400,66.03
2023-04-09,Felixstowe,Asia,tanker,4.71,38.53,1853.63,2.01,22799,69.02
2018-11-18,Antwerp,North America,ro-ro,3.66,4.93,1181.2,2.59,7954,81.2
2024-10-13,Long Beach,Asia,ro-ro,7.38,30.37,1831.91,2.6,20652,66.13
2017-05-07,Savannah,Middle East,bulk,0.2,42.16,2246.27,2.91,17553,76.95
2021-05-30,Colombo,Middle East,bulk,2.56,58.8,2623.48,1.86,20481,67.24
2015-05-31,Ningbo,North America,container,2.49,42.41,2329.71,2.17,22943,72.3
2024-01-21,Ningbo,Europe,ro-ro,8.31,1.65,1909.7,2.81,1550,72.88
2015-09-20,Durban,South America,container,4.03,7.3,2395.58,2.69,17939,79.75
2021-08-15,Los Angeles,North America,ro-ro,7.32,9.74,3043.35,1.94,10589,72.44
2016-11-13,Felixstowe,Africa,tanker,3.59,13.12,1498.15,2.47,25332,78.88
2020-05-24,Singapore,Asia,ro-ro,7.15,26.35,3266.13,3.19,18441,67.8
2016-07-24,Durban,Asia,ro-ro,3.07,21.37,2343.86,1.83,10540,77.45
2015-12-06,Jebel Ali,Asia,ro-ro,5.48,12.7,2138.52,2.33,11350,75.23
2024-09-08,Savannah,Asia,container,7.67,2.75,3187.74,3.75,9127,73.83
2015-07-26,Hamburg,North America,container,6.04,21.71,2902.05,3.15,17100,71.41
2017-09-24,Savannah,Asia,ro-ro,1.61,33.62,2377.0,2.38,13007,76.69
2019-06-09,Rotterdam,North America,bulk,4.13,45.95,2222.07,1.72,19849,67.96
2022-03-27,Durban,North America,container,6.75,24.73,3172.15,3.24,16228,69.08
2020-02-02,Long Beach,North America,container,2.21,8.36,2701.65,2.17,15591,83.07
2020-12-20,New York/New Jersey,Asia,tanker,1.32,4.15,3087.71,2.23,17390,86.12
2022-06-12,Shanghai,Africa,bulk,4.13,26.69,3114.25,2.53,26047,73.73
2017-09-17,Colombo,Middle East,container,1.7,0.86,2590.71,1.6,15085,86.34
2017-06-25,Singapore,Europe,ro-ro,7.53,12.16,2145.35,2.78,15299,71.29
2023-10-08,Savannah,South America,bulk,2.6,24.05,2806.19,3.35,11025,77.58
2024-05-19,Santos,Asia,tanker,4.98,66.24,3171.17,1.95,34773,60.17
2024-06-23,Hamburg,North America,tanker,2.16,36.8,1505.18,2.57,17523,74.64
2020-10-25,New York/New Jersey,Asia,bulk,2.7,53.79,2903.18,2.72,25670,68.46
2019-01-13,New York/New Jersey,North America,ro-ro,1.1,40.98,2509.04,2.51,23182,75.51
2016-03-06,Antwerp,North America,bulk,6.81,9.17,2885.43,2.52,16938,73.63
2024-03-10,Jebel Ali,Europe,ro-ro,5.93,29.45,1471.7,2.28,17469,69.31
2017-01-22,Singapore,Europe,tanker,3.21,28.87,2107.18,2.61,21907,74.92
2021-02-14,Valencia,Africa,bulk,1.9,47.88,2413.02,1.33,24865,71.84
2024-11-24,Savannah,Europe,bulk,3.69,29.85,2448.61,3.19,14373,73.67
2022-02-20,Jebel Ali,Middle East,bulk,2.31,26.47,1396.13,2.29,8347,77.44
2022-11-06,Antwerp,North America,tanker,4.02,34.71,1320.41,2.04,17625,71.55
2023-04-23,Rotterdam,Africa,tanker,2.9,13.96,2536.65,2.01,9606,80.01
2017-01-01,Houston,Middle East,container,2.67,72.9,3393.82,2.99,19239,62.79
2017-02-26,Hamburg,North America,ro-ro,5.89,1.68,1956.57,2.0,7294,77.72
2018-09-02,Shanghai,North America,ro-ro,6.42,56.85,2943.64,2.29,19571,60.1
2023-11-19,Busan,Asia,container,1.82,45.15,2097.83,2.77,21433,72.82
2016-08-28,Busan,Middle East,bulk,4.28,24.65,2146.83,2.58,11831,74.04
2017-12-17,Jebel Ali,South America,ro-ro,4.89,24.65,2302.88,2.57,7829,72.82
2024-12-22,Singapore,North America,ro-ro,5.78,6.15,1822.12,1.5,18769,76.6
2020-05-10,Busan,North America,container,2.47,9.45,1887.99,2.71,13320,82.22
2022-07-03,Felixstowe,Europe,tanker,5.81,37.24,1852.2,3.17,13594,67.21
2018-09-16,Jebel Ali,Europe,tanker,5.54,12.6,2349.84,3.14,14265,75.14
2024-09-08,Manzanillo,Middle East,container,0.2,47.71,2144.04,2.85,25349,75.29
2015-12-27,Hamburg,North America,bulk,4.35,28.78,1739.11,1.49,28073,72.67
2017-04-02,Long Beach,North America,tanker,1.45,17.21,2009.65,2.05,14699,81.94
2019-09-08,New York/New Jersey,South America,container,2.28,19.64,2079.29,2.05,14349,79.55
2020-05-31,Hamburg,South America,ro-ro,5.83,36.27,2243.74,3.45,19066,67.46
2022-09-11,Jebel Ali,North America,bulk,6.87,41.11,1107.29,1.16,33920,63.93
2020-04-05,Santos,Europe,bulk,7.75,24.7,2971.7,3.2,10784,67.09
2018-12-30,Busan,Africa,tanker,4.15,27.14,1809.57,3.04,17289,73.56
2020-08-23,Los Angeles,North America,bulk,2.11,27.23,1960.78,2.06,10645,77.61
2024-11-17,Tanjung Priok,Middle East,tanker,3.48,46.62,2058.36,1.95,12704,69.05
2019-09-08,Rotterdam,Asia,container,5.85,26.65,1929.69,2.1,15245,70.3
2018-04-08,Rotterdam,Asia,ro-ro,2.68,53.91,2345.39,2.6,23068,68.47
2017-10-15,Los Angeles,Africa,ro-ro,4.72,27.78,413.86,2.97,15827,72.23
2023-05-28,Singapore,North America,bulk,3.38,35.27,2656.33,3.58,18237,72.66
2020-03-08,New York/New Jersey,Europe,container,4.99,49.0,2014.26,3.1,21009,65.32
2021-11-28,Santos,South America,container,4.54,52.95,2847.05,1.9,24735,65.04
2024-08-04,Hamburg,Middle East,container,5.87,42.58,2033.54,2.67,23622,65.49
2015-11-22,Los Angeles,South America,tanker,1.74,44.26,3168.38,1.78,20157,73.24
2019-06-23,Manzanillo,South America,bulk,0.2,33.05,2100.49,2.25,18719,79.68
2017-11-19,Savannah,North America,tanker,0.2,17.6,1920.72,2.91,17756,84.32
2021-08-01,Valencia,Middle East,tanker,2.31,26.61,1510.34,2.43,18122,77.4
2020-01-19,Santos,Asia,tanker,1.54,11.17,2578.07,2.6,14742,83.57
2023-12-31,Los Angeles,Asia,tanker,0.2,32.16,1701.76,2.12,16387,79.95
2021-07-18,Manzanillo,Africa,ro-ro,2.1,5.66,1473.12,2.74,8359,84.1
2017-03-19,Shanghai,Africa,container,1.11,19.06,2575.8,2.66,25665,82.06
2017-11-26,Felixstowe,Europe,bulk,6.04,59.31,2011.49,3.3,22393,60.13
2022-01-02,Santos,North America,bulk,1.39,15.75,1472.08,2.0,23446,82.5
2023-06-18,Busan,Europe,container,5.2,30.12,3057.72,2.87,16578,70.56
2018-10-21,Jebel Ali,Africa,container,3.75,12.6,1791.82,1.48,17865,78.72
2020-05-17,Durban,Middle East,bulk,0.2,16.2,1429.43,1.64,20902,84.74
2020-03-15,Busan,Asia,ro-ro,2.26,29.09,2153.35,2.61,20148,76.75
2023-03-12,Shanghai,Asia,bulk,1.97,28.95,3040.08,1.84,13741,77.38
2015-10-25,Colombo,South America,tanker,4.14,31.4,1945.99,4.07,23189,72.3
2017-05-28,Felixstowe,Middle East,tanker,1.16,15.74,1403.16,2.43,10345,82.96
2020-08-30,Savannah,North America,ro-ro,6.63,28.44,1105.16,2.9,20422,68.21
2017-11-19,Valencia,Africa,bulk,2.97,17.69,1993.37,2.32,15620,78.75
2020-09-06,Tanjung Priok,South America,bulk,1.7,25.52,1687.74,2.45,19214,78.94
2020-12-13,Santos,Asia,container,5.3,58.68,2660.5,3.42,33673,61.8
2020-10-11,Los Angeles,Middle East,container,4.8,40.37,1275.97,1.87,21480,68.29
2019-04-07,Ningbo,South America,container,3.38,50.85,2742.58,2.38,23828,67.98
2016-01-17,Santos,Asia,container,3.58,7.75,1999.01,3.34,15291,80.52
2023-06-11,Busan,Africa,container,2.06,6.42,2362.51,2.69,13452,83.95
2015-12-27,Shanghai,Europe,tanker,4.27,25.31,948.38,3.31,20712,73.87
2020-07-26,Manzanillo,Africa,bulk,3.96,17.7,2551.81,1.95,11303,76.77
2016-09-11,Shanghai,Europe,bulk,0.54,12.88,3680.03,1.39,17522,85.06
2023-06-25,Colombo,North America,tanker,3.56,50.9,2880.75,1.51,23134,67.61
2019-04-21,Long Beach,Middle East,tanker,3.24,19.72,2426.37,2.65,16410,77.6
2019-11-17,Jebel Ali,Middle East,ro-ro,2.18,34.25,1492.66,2.42,23431,75.36
2016-12-04,Shanghai,Asia,tanker,2.5,21.64,2185.38,2.51,17460,78.51
2018-05-27,Colombo,Middle East,tanker,2.09,72.09,1394.89,2.22,23690,64.19
2017-09-24,Antwerp,Asia,bulk,7.24,49.72,2569.84,2.92,24427,60.6
2023-03-05,Durban,Europe,tanker,3.72,55.3,1852.03,3.82,27446,65.97
2020-12-27,New York/New Jersey,Asia,ro-ro,0.2,21.94,882.93,2.33,12699,83.02
2018-08-05,Jebel Ali,Middle East,container,1.75,49.49,1495.76,2.43,27715,71.65
2017-09-17,Manzanillo,Middle East,tanker,2.09,14.34,1644.03,3.18,7888,81.52
2024-11-17,Busan,Middle East,tanker,5.51,32.97,2441.06,2.82,29818,69.09
2023-05-21,Valencia,Middle East,ro-ro,5.42,30.75,1307.16,2.96,18131,69.94
2024-01-21,Los Angeles,South America,container,5.54,29.39,2659.29,2.68,18574,70.1
2023-04-09,New York/New Jersey,Europe,tanker,3.8,37.89,2044.51,0.98,19958,71.03
2019-10-06,Colombo,South America,tanker,5.29,18.37,2664.75,2.3,19454,73.91
2017-07-02,Tanjung Priok,South America,tanker,2.44,21.41,2441.08,2.78,16034,78.7
2016-01-17,Jebel Ali,Europe,ro-ro,5.25,13.21,2945.07,3.59,26603,75.54
2015-02-15,Valencia,South America,ro-ro,5.03,25.04,2013.7,3.44,12885,72.43
2016-01-24,New York/New Jersey,North America,tanker,1.65,18.77,2496.79,1.68,11565,81.07
2017-02-05,Singapore,South America,container,3.27,19.36,2858.65,2.33,21923,77.65
