date,R01_rate_usd_mt,R02_rate_usd_mt,R03_rate_usd_mt,R04_rate_usd_mt,R05_rate_usd_mt,R06_rate_usd_mt,R07_rate_usd_mt,R08_rate_usd_mt,R09_rate_usd_mt,R10_rate_usd_mt,R11_rate_usd_mt,R12_rate_usd_mt,R13_rate_usd_mt,R14_rate_usd_mt,R15_rate_usd_mt,R16_rate_usd_mt,R17_rate_usd_mt,R18_rate_usd_mt,R19_rate_usd_mt,R20_rate_usd_mt
2023-09-07,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-08,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-09,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-10,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-11,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-12,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-13,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-14,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-15,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-16,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-17,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-18,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-19,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-20,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-21,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-22,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-23,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-24,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-25,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-26,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-27,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-28,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-29,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-30,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-01,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-02,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-03,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-04,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-05,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-06,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-07,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-08,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-09,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-10,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-11,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-12,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-13,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-14,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-15,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-16,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-17,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-18,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-19,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-20,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-21,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-22,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-23,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-24,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-25,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-26,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-27,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-28,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-29,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-30,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-10-31,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,36.35,35.4,24.6,40.5
2023-11-01,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,37.28,35.4,24.6,40.5
2023-11-02,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,37.84,35.4,24.6,40.5
2023-11-03,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-04,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-05,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-06,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-07,37.5,34.19,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-08,37.5,35.08,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-09,37.5,35.73,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-10,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-11,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-12,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-13,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-14,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-15,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,63.77,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-16,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,65.56,45,44.4,78,36.69,35.4,24.6,40.5
2023-11-17,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,66.96,45,44.4,78,37.62,35.4,24.6,40.5
2023-11-18,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-19,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-20,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-21,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-22,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-23,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-24,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-25,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-26,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-27,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-28,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,62.25,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-29,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,62.89,45,44.4,78,38.4,35.4,24.6,40.5
2023-11-30,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,63.38,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-01,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,64.87,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-02,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,65.4,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-03,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,66.24,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-04,37.5,34.3,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,66.86,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-05,37.5,35.61,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-06,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-07,37.5,36,35.4,34.5,25.5,28.51,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-08,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.46,66,67.5,45,44.4,78,38.4,35.4,24.6,39.58
2023-12-09,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.34
2023-12-10,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-11,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-12,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-13,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-14,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-15,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-16,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-17,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-18,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-19,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,62.04,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-20,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,62.53,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-21,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,63.08,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-22,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,63.79,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-23,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,65.62,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-24,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-25,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-26,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-27,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-28,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-29,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-30,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-12-31,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2024-01-01,34.61,32.44,32.64,31.67,23.51,27.09,24.98,39.09,38.71,38.17,36.63,59.59,60.83,40.58,40.09,71.93,35.29,32.45,22.58,37.1
2024-01-02,31.76,29.8,29.32,28.69,21.69,24.54,22.58,35.25,34.91,34.47,33.77,53.88,56.09,36.65,36.84,64.83,31.97,29.3,20.34,33.38
2024-01-03,28.76,27.34,26.95,25.97,19.52,22.65,20.76,32.61,31.66,31.7,31.19,48.83,51.87,33.82,33.85,58.6,29.01,26.86,18.76,30.84
2024-01-04,26.59,24.69,24.87,23.84,17.67,20.47,18.66,29.5,28.68,29.09,28.07,44.07,47.84,31.1,30.7,52.84,26.59,24.26,16.85,27.8
2024-01-05,24.1,22.87,23.02,21.48,16.32,18.92,17.12,27.19,25.83,26.77,25.47,39.83,43.92,28.81,27.67,48.68,24.44,22.35,15.6,25.27
2024-01-06,21.89,20.64,20.78,19.95,14.78,17.42,15.4,25.19,23.72,24.08,23.4,36.02,40.63,26.73,25.07,43.85,22.56,20.29,14.11,23.47
2024-01-07,19.97,17.44,18.72,18.49,13.6,16.01,14.04,22.89,21.45,22.25,21.69,32.58,36.56,24.79,22.74,40.67,20.76,18.52,12.84,21.71
2024-01-08,18.25,16.18,17.45,16.73,12.38,14.81,13.07,20.64,19.76,20.52,19.6,29.53,33.15,22.94,20.75,37.4,18.72,16.87,11.57,20.11
2024-01-09,16.69,14.7,16.31,15.37,11.14,13.73,12.03,19.16,17.81,18.65,17.86,27.05,30.52,21.29,19.12,33.81,17.13,15.38,10.46,18.13
2024-01-10,15.37,13.63,15.2,13.99,10.1,12.7,10.92,17.42,16.18,17.03,16.54,24.64,27.84,19.51,17.6,31.05,15.57,13.91,9.47,16.6
2024-01-11,13.9,12.53,13.95,12.61,9.12,11.62,9.95,16.11,15.01,15.62,15.52,22.23,25.66,18.21,16.03,28.59,14.17,12.72,8.79,15.36
2024-01-12,12.76,11.33,12.93,11.54,8.41,10.74,9.3,14.88,13.86,14.42,14.59,20.31,23.14,16.42,14.63,26.34,13.03,11.72,8.01,13.9
2024-01-13,12.03,10.61,11.99,10.61,7.79,9.72,8.71,13.74,12.79,13.12,13.58,19.11,21.34,15.17,13.4,23.93,12.29,11.06,7.3,13.1
2024-01-14,11.1,9.63,11.13,9.7,7.3,8.82,7.86,12.95,11.87,11.85,12.39,17.63,19.56,13.81,12.43,22.48,11.53,10.17,6.83,12.06
2024-01-15,10.45,8.91,10.51,9.11,6.65,7.99,7.43,12.12,10.98,11,11.53,16.14,18.29,12.78,11.67,20.51,10.46,9.36,6.23,11.19
2024-01-16,9.7,8.25,9.56,8.57,6.19,7.41,6.89,11.21,10,10.19,10.7,14.7,16.99,12.05,11.02,19.08,9.67,8.83,5.88,10.39
2024-01-17,8.92,7.51,8.89,7.88,5.61,6.87,6.36,10.31,9.11,9.28,9.71,13.55,15.81,11.1,10.13,17.64,8.94,7.99,5.49,9.67
2024-01-18,8.24,6.88,8.17,7.26,5.3,6.24,6,9.34,8.46,8.68,9.24,12.58,14.79,10.13,9.63,16.33,8.31,7.46,5.11,9.06
2024-01-19,7.79,6.27,7.8,6.7,4.91,5.99,5.57,8.56,7.95,8.16,11.08,11.79,13.54,9.39,9.02,15.48,7.8,6.85,4.74,8.62
2024-01-20,7.11,5.86,7.42,6.29,4.61,5.61,5.24,7.78,7.68,7.67,10.5,11,12.7,8.63,8.34,14.62,7.26,6.45,4.58,7.9
2024-01-21,6.72,5.56,6.81,5.92,4.34,5.24,4.77,7.2,7.03,7.27,9.52,10.47,11.8,8.14,7.82,13.68,6.9,5.93,4.27,7.37
2024-01-22,6.37,5.32,6.34,5.55,4,4.88,4.37,6.8,6.77,6.82,8.63,9.83,10.79,7.63,7.55,13.01,6.49,5.57,3.95,6.75
2024-01-23,6.02,4.93,5.9,5.32,3.75,4.47,4.08,6.46,6.27,6.22,7.98,9.45,10.33,7.1,7.15,12.15,6.14,5.43,3.72,6.16
2024-01-24,5.53,4.8,5.56,5,3.58,4.18,3.87,5.89,5.96,6.1,7.31,9.17,9.47,6.61,6.73,11.53,5.62,4.95,3.44,5.79
2024-01-25,5.11,4.8,5.24,4.78,3.4,3.92,3.68,5.8,5.67,5.89,6.88,8.81,9,6.47,6.52,11.18,5.12,4.72,3.4,5.4
2024-01-26,5,4.8,4.94,4.6,3.4,3.92,3.68,5.8,5.6,5.62,6.31,8.8,9,6.19,6.28,10.88,5.12,4.72,3.29,5.4
2024-01-27,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.94,8.8,9,6,6.02,10.52,5.12,4.72,3.28,5.4
2024-01-28,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.6,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-01-29,5,4.8,4.72,4.6,3.4,3.92,3.68,8.83,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-01-30,5,4.8,4.72,4.6,3.4,3.92,3.68,8.23,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-01-31,5,4.8,4.72,4.6,3.4,3.92,3.68,7.93,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-01,5,4.8,4.72,4.6,3.4,3.92,3.68,7.24,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-02,5,4.8,4.72,4.6,3.4,3.92,3.68,6.91,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-03,5,4.8,4.72,4.6,3.4,3.92,3.68,6.29,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-04,5,4.8,4.72,4.6,3.4,3.92,3.68,5.86,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-05,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-06,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-07,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-08,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-09,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-10,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,5.92,10.4,5.12,4.72,3.28,5.4
2024-02-11,5,4.8,4.72,4.6,3.4,3.92,3.68,5.8,5.6,5.52,5.4,8.8,9,6,8.41,10.4,5.12,4.72,3.28,5.4
