date,bdi,bci_capesize,bpi_panamax,bsi_supramax,bhsi_handysize,vlsfo_usd_mt,mgo_usd_mt
2023-11-07,1454,2131,1801,1436,1027,605.77,859.7
2023-11-08,1469,2116,1805,1445,1025,607.7,860.62
2023-11-09,1452,2125,1820,1452,1020,608.66,857.54
2023-11-10,1459,2123,1822,1459,1029,606.23,853.57
2023-11-11,1469,2138,1819,1454,1029,608.63,855.99
2023-11-12,1489,2121,1825,1464,1021,607.71,854.36
2023-11-13,1481,2117,1812,1469,1014,610.64,850.33
2023-11-14,1482,2129,1828,1459,1012,607.3,852.17
2023-11-15,1469,2105,1819,1451,1020,603.85,847.95
2023-11-16,1466,2094,1832,1449,1023,600.92,844.73
2023-11-17,1484,2115,1848,1448,1026,600.32,847.09
2023-11-18,1472,2112,1857,1451,1022,599.56,848.96
2023-11-19,1455,2113,1872,1456,1023,602.8,851.36
2023-11-20,1454,2096,1876,1466,1013,600.88,852.27
2023-11-21,1465,2090,1884,1474,1023,603.96,856.17
2023-11-22,1463,2106,1876,1480,1017,600.29,857.84
2023-11-23,1462,2136,1869,1484,1024,600.78,861.22
2023-11-24,1473,2138,1850,1497,1024,601.66,863.39
2023-11-25,1471,2113,1838,1509,1031,602.93,859.73
2023-11-26,1453,2098,1850,1495,1035,604.52,859.64
2023-11-27,1455,2112,1847,1499,1026,606.8,864
2023-11-28,1460,2141,1857,1493,1035,605.45,868.51
2023-11-29,1443,2122,1859,1501,1044,606.92,866.51
2023-11-30,1463,2129,1838,1489,1034,603.03,871.18
2023-12-01,1454,2145,1855,1475,1026,601.02,875.2
2023-12-02,1460,2131,1851,1484,1028,603.25,880.04
2023-12-03,1446,2129,1843,1479,1019,599.97,875.36
2023-12-04,1453,2102,1857,1464,1024,600.26,873.75
2023-12-05,1439,2116,1850,1454,1032,599.99,873.35
2023-12-06,1432,2116,1831,1445,1024,601.32,871.04
2023-12-07,1430,2119,1829,1439,1020,598.25,870.41
2023-12-08,1418,2139,1827,1443,1018,600.37,870.73
2023-12-09,1411,2133,1845,1439,1011,603.46,872.13
2023-12-10,1417,2133,1830,1444,1002,605.68,872.61
2023-12-11,1413,2115,1822,1446,993,607.37,867.52
2023-12-12,1407,2095,1822,1447,990,607.54,864.23
2023-12-13,1396,2097,1822,1446,997,605.24,868.08
2023-12-14,1391,2072,1817,1446,1004,608.59,866.12
2023-12-15,1399,2068,1831,1456,1008,607.95,863.73
2023-12-16,1408,2097,1815,1465,1005,606.74,868.15
2023-12-17,1410,2080,1825,1469,1012,605.44,864.8
2023-12-18,1394,2070,1836,1482,1006,606.55,864.91
2023-12-19,1402,2061,1818,1469,1006,607.65,863.38
2023-12-20,1402,2091,1806,1483,1001,605.17,867.56
2023-12-21,1386,2111,1825,1470,1007,607.25,867.53
2023-12-22,1370,2101,1832,1459,1015,605.72,869.23
2023-12-23,1378,2125,1829,1467,1022,602.25,872.91
2023-12-24,1365,2108,1808,1454,1027,606.22,872
2023-12-25,1387,2103,1814,1444,1022,602.88,870.49
2023-12-26,1369,2078,1835,1439,1031,606.75,866.51
2023-12-27,1358,2085,1819,1442,1028,609.47,862.86
2023-12-28,1341,2083,1798,1437,1027,607.38,860.22
2023-12-29,1331,2083,1803,1428,1027,603.8,857.23
2023-12-30,1315,2068,1788,1437,1023,607.1,858.89
2023-12-31,1314,2058,1799,1435,1016,609.79,855.37
2024-01-01,1300,2062,1815,1421,1014,606.07,851.65
2024-01-02,1286,2047,1794,1432,1008,602.47,849.59
2024-01-03,1279,2058,1774,1439,1008,599.21,846.81
2024-01-04,1262,2042,1782,1425,1003,601.82,847.29
2024-01-05,1275,2071,1783,1422,1005,598.8,846.84
2024-01-06,1277,2079,1771,1418,1010,599.05,848.67
2024-01-07,1264,2055,1772,1427,1018,601.03,846.29
2024-01-08,1259,2062,1751,1420,1024,601.02,845.79
2024-01-09,1257,2073,1732,1409,1028,597.25,845.1
2024-01-10,1252,2074,1729,1422,1018,596.58,846.74
2024-01-11,1246,2092,1740,1413,1021,600.35,848.85
2024-01-12,1238,2110,1726,1400,1025,601.78,843.92
2024-01-13,1249,2108,1745,1403,1026,602.4,844.5
2024-01-14,1257,2137,1766,1403,1018,601.8,849.36
2024-01-15,1244,2137,1761,1390,1025,599.52,849.76
2024-01-16,1230,2124,1756,1383,1020,602.27,845.88
2024-01-17,1226,2105,1745,1375,1019,603.01,841.19
2024-01-18,1243,2075,1742,1373,1011,599.98,839.78
2024-01-19,1257,2100,1747,1383,1006,600.13,837.51
2024-01-20,1270,2106,1744,1394,1010,601.58,842.12
2024-01-21,1268,2077,1744,1407,1013,599.56,846.37
2024-01-22,1273,2062,1743,1416,1008,595.86,841.71
2024-01-23,1269,2055,1722,1405,1004,598.79,837.92
2024-01-24,1265,2082,1705,1414,1003,599.87,833.75
2024-01-25,1270,2065,1689,1428,1012,596.63,835.42
2024-01-26,1263,2062,1709,1420,1006,597.36,832.69
2024-01-27,1264,2072,1731,1418,1014,594.65,835.23
2024-01-28,1256,2101,1728,1426,1017,592.82,831.33
2024-01-29,1255,2083,1707,1418,1013,591.72,830.06
2024-01-30,1253,2056,1699,1424,1021,588.69,826.55
2024-01-31,1253,2031,1721,1424,1014,592.05,830.21
2024-02-01,1255,2060,1710,1421,1005,591.72,827.15
2024-02-02,1248,2049,1726,1436,1012,595.65,829.67
2024-02-03,1272,2025,1745,1427,1022,592.71,827.89
2024-02-04,1286,2009,1739,1435,1020,595.23,828.89
2024-02-05,1289,2012,1721,1422,1029,597.23,828.03
2024-02-06,1312,2015,1730,1435,1036,596.79,827.38
2024-02-07,1317,1998,1744,1432,1027,597.68,827.06
2024-02-08,1328,1989,1768,1425,1033,599,830.42
2024-02-09,1335,1979,1759,1429,1035,599.67,832.58
2024-02-10,1353,1963,1762,1423,1039,600.45,837.65
2024-02-11,1347,1965,1765,1438,1034,600.1,841.28
2024-02-12,1341,1981,1762,1450,1033,596.48,846.15
2024-02-13,1350,2007,1765,1460,1041,597.69,846.72
2024-02-14,1363,1988,1767,1453,1040,594.64,845.44
2024-02-15,1359,1991,1787,1450,1033,591.01,840.51
2024-02-16,1345,2009,1782,1453,1025,593.52,837.66
2024-02-17,1335,2036,1786,1462,1017,592.29,838.7
2024-02-18,1355,2020,1785,1449,1025,589.07,838.31
2024-02-19,1366,2049,1788,1459,1016,592.02,841.21
2024-02-20,1373,2067,1780,1451,1015,589.9,838.59
2024-02-21,1377,2059,1774,1459,1021,587.21,838.76
2024-02-22,1370,2080,1797,1449,1016,588.59,835.14
2024-02-23,1387,2056,1803,1461,1021,589.17,837.91
2024-02-24,1385,2072,1793,1474,1026,586.74,833.74
2024-02-25,1379,2088,1775,1463,1027,583.98,830.44
2024-02-26,1400,2079,1765,1466,1028,580.15,829.21
2024-02-27,1404,2098,1774,1458,1025,576.51,832.28
2024-02-28,1417,2084,1777,1454,1019,573.85,830.22
2024-02-29,1414,2114,1799,1443,1023,573.63,828.89
2024-03-01,1405,2132,1803,1443,1017,574.39,828.03
2024-03-02,1408,2136,1806,1437,1010,574.47,833.13
2024-03-03,1404,2106,1786,1437,1019,574.4,836.25
2024-03-04,1423,2083,1776,1446,1027,575.1,834.61
2024-03-05,1435,2101,1792,1455,1033,576.55,830.38
2024-03-06,1434,2073,1780,1460,1039,579.66,832.24
2024-03-07,1443,2064,1795,1464,1039,580.26,833.87
2024-03-08,1451,2082,1804,1467,1036,583.81,834.25
2024-03-09,1471,2089,1813,1455,1033,582.64,838.82
2024-03-10,1472,2101,1816,1453,1024,585.78,834.58
2024-03-11,1462,2104,1839,1466,1025,588.84,831.86
2024-03-12,1471,2125,1857,1477,1018,591.24,833.36
2024-03-13,1487,2148,1862,1487,1014,588.04,832.22
2024-03-14,1481,2127,1880,1478,1010,586.55,834.33
2024-03-15,1470,2102,1898,1483,1019,583.9,833.45
2024-03-16,1470,2091,1878,1477,1024,584.65,834.66
2024-03-17,1470,2117,1881,1483,1019,583.81,835.37
2024-03-18,1454,2133,1884,1472,1022,587.47,836.26
2024-03-19,1442,2137,1883,1467,1012,585.63,833.52
2024-03-20,1432,2128,1905,1459,1012,583.35,831.98
2024-03-21,1433,2101,1919,1463,1021,581.37,832.51
2024-03-22,1454,2118,1924,1454,1025,578.2,831.59
2024-03-23,1452,2119,1938,1447,1030,580.36,827.15
2024-03-24,1438,2093,1953,1461,1037,577.43,831.56
2024-03-25,1450,2110,1933,1449,1042,577.36,834.09
2024-03-26,1436,2104,1947,1461,1036,575.95,829.43
2024-03-27,1447,2098,1964,1446,1045,579.13,832.93
2024-03-28,1449,2124,1983,1440,1047,575.83,830.87
2024-03-29,1465,2132,1964,1444,1046,577.24,832.71
2024-03-30,1448,2153,1951,1440,1039,578.71,837.26
2024-03-31,1445,2176,1962,1436,1048,576.87,834.94
2024-04-01,1571,2341,2104,1563,1123,573.44,837.71
2024-04-02,1557,2336,2120,1576,1130,576.83,841.03
2024-04-03,1577,2366,2131,1578,1126,578.2,837.93
2024-04-04,1557,2394,2129,1572,1129,576.4,834.4
2024-04-05,1541,2407,2115,1569,1139,579.32,838.36
2024-04-06,1535,2436,2137,1558,1140,578.29,841.16
2024-04-07,1548,2450,2117,1561,1130,579.62,836.98
2024-04-08,1552,2457,2111,1570,1123,576.6,832.14
2024-04-09,1565,2444,2134,1582,1122,578.12,836.9
2024-04-10,1558,2423,2121,1594,1116,576.27,837.3
2024-04-11,1571,2394,2139,1604,1106,577.65,832.89
2024-04-12,1589,2419,2147,1591,1116,573.93,832.86
2024-04-13,1569,2445,2141,1602,1121,575.88,831.39
2024-04-14,1563,2467,2118,1588,1116,575.96,836.28
2024-04-15,1576,2439,2122,1585,1119,579.39,832.16
2024-04-16,1585,2463,2141,1599,1114,577.23,835.94
2024-04-17,1584,2460,2130,1605,1117,580.47,831.68
2024-04-18,1579,2433,2115,1602,1110,580.43,832.03
2024-04-19,1575,2449,2113,1614,1105,579.12,834.71
2024-04-20,1566,2433,2133,1623,1113,582.81,831.39
2024-04-21,1548,2425,2118,1614,1104,584.8,835.65
2024-04-22,1535,2438,2121,1600,1102,587.53,838.12
2024-04-23,1535,2449,2118,1605,1097,588.8,835.36
2024-04-24,1523,2416,2106,1621,1100,588.61,831.6
2024-04-25,1515,2394,2117,1608,1110,592.45,829.77
2024-04-26,1518,2376,2116,1609,1119,589.23,826.81
2024-04-27,1526,2370,2129,1594,1115,592.13,826.52
2024-04-28,1519,2394,2148,1604,1119,595.11,823.09
2024-04-29,1535,2420,2145,1592,1123,596.06,825.25
2024-04-30,1544,2444,2134,1603,1114,595.02,825.53
2024-05-01,1567,2468,2132,1617,1117,598.88,826.4
2024-05-02,1564,2492,2145,1610,1113,599.82,822.98
2024-05-03,1579,2504,2138,1625,1118,599.46,822.67
2024-05-04,1601,2473,2150,1623,1109,599.93,824.16
2024-05-05,1616,2463,2143,1615,1113,600.57,825.72
2024-05-06,1624,2433,2118,1604,1105,599.62,827.37
2024-05-07,1644,2447,2094,1617,1105,595.64,828.87
2024-05-08,1660,2453,2095,1602,1101,594.89,826.41
2024-05-09,1671,2476,2080,1606,1101,598.31,821.69
2024-05-10,1685,2484,2058,1590,1099,601.31,819.02
2024-05-11,1697,2479,2059,1593,1104,602.58,823.22
2024-05-12,1708,2462,2069,1579,1099,605.53,824.1
2024-05-13,1697,2431,2076,1576,1097,606.15,820.11
2024-05-14,1701,2444,2060,1565,1104,605.55,822.95
2024-05-15,1704,2413,2039,1570,1099,608.3,821.35
2024-05-16,1709,2423,2019,1578,1100,610.99,820.15
2024-05-17,1722,2438,2024,1592,1093,613.55,816.25
2024-05-18,1727,2436,2024,1592,1103,613.75,820.29
2024-05-19,1747,2440,2010,1578,1105,611.74,821.35
2024-05-20,1758,2442,2001,1578,1101,611.27,819.07
2024-05-21,1754,2466,1994,1563,1101,607.55,815.99
2024-05-22,1744,2462,2001,1562,1107,611.09,820.77
2024-05-23,1748,2485,1984,1565,1100,607.2,816.88
2024-05-24,1766,2484,1965,1573,1111,605.12,812.54
2024-05-25,1748,2463,1944,1585,1105,608.74,809.54
2024-05-26,1754,2453,1941,1572,1097,605.96,810.9
2024-05-27,1742,2458,1940,1580,1094,606.76,809.04
2024-05-28,1759,2443,1925,1570,1102,607.02,812.07
2024-05-29,1774,2428,1917,1555,1092,609.01,814.8
2024-05-30,1762,2408,1917,1566,1083,610.56,812.4
2024-05-31,1763,2421,1921,1561,1086,608.8,810.58
2024-06-01,1887,2574,2064,1676,1166,612.64,812.43
2024-06-02,1888,2596,2062,1669,1170,614.3,812.46
2024-06-03,1869,2623,2071,1684,1179,610.5,812.23
2024-06-04,1860,2593,2051,1699,1188,611.83,815.74
2024-06-05,1876,2618,2040,1697,1198,611.87,819.58
2024-06-06,1895,2590,2041,1708,1197,614.15,822.13
2024-06-07,1897,2579,2053,1715,1206,615.07,818.62
2024-06-08,1888,2581,2054,1721,1212,613,823.16
2024-06-09,1906,2564,2077,1730,1218,613.12,823.36
2024-06-10,1921,2541,2086,1741,1210,612.95,824.44
2024-06-11,1927,2537,2096,1755,1219,613.5,821.94
2024-06-12,1925,2507,2096,1761,1216,610.84,825.26
2024-06-13,1917,2484,2095,1772,1207,610.44,821.34
2024-06-14,1902,2486,2110,1761,1206,607.39,826.19
2024-06-15,1903,2456,2127,1762,1197,607.2,822.23
2024-06-16,1882,2473,2142,1778,1207,607.64,821.52
2024-06-17,1863,2452,2140,1765,1200,609.22,825.36
2024-06-18,1875,2455,2119,1762,1205,609.24,823.28
2024-06-19,1897,2463,2132,1746,1204,611.14,823.69
2024-06-20,1908,2487,2128,1751,1206,612.05,824.1
2024-06-21,1925,2509,2154,1739,1208,609.88,821.89
2024-06-22,1917,2535,2131,1721,1208,611.99,818.82
2024-06-23,1915,2556,2148,1737,1206,615.4,823.44
2024-06-24,1918,2583,2131,1747,1214,615.48,823.47
2024-06-25,1913,2597,2156,1740,1208,612.23,820.96
2024-06-26,1911,2586,2141,1753,1218,614.86,820.6
2024-06-27,1918,2570,2122,1748,1227,611.74,824.7
2024-06-28,1934,2542,2142,1755,1235,615.16,827.42
2024-06-29,1927,2521,2143,1760,1227,617.96,826.4
2024-06-30,1945,2505,2145,1771,1231,618.44,821.72
2024-07-01,1952,2471,2129,1781,1236,622.27,823.57
2024-07-02,1932,2461,2128,1779,1231,625.79,820.36
2024-07-03,1935,2483,2117,1761,1233,621.84,816.68
2024-07-04,1927,2458,2124,1747,1240,621,812.04
2024-07-05,1942,2446,2112,1751,1243,618.42,812.42
2024-07-06,1941,2430,2090,1737,1242,617.71,811.15
2024-07-07,1929,2453,2068,1743,1232,617.88,814.21
2024-07-08,1938,2477,2083,1750,1223,617.46,817.52
2024-07-09,1921,2459,2082,1765,1214,619.35,816.68
2024-07-10,1904,2465,2081,1760,1221,617.98,814.1
2024-07-11,1911,2457,2107,1774,1216,618.38,811.34
2024-07-12,1909,2491,2092,1762,1219,618.76,814.69
2024-07-13,1900,2505,2082,1752,1211,614.79,813.36
2024-07-14,1878,2538,2068,1755,1199,611.14,815.44
2024-07-15,1884,2518,2082,1760,1199,612.03,818.45
2024-07-16,1905,2506,2085,1771,1201,612.17,816.13
2024-07-17,1909,2519,2068,1763,1206,611.17,811.58
2024-07-18,1896,2496,2048,1747,1201,609.15,809.93
2024-07-19,1908,2507,2028,1732,1208,606.8,806.92
2024-07-20,1908,2538,2026,1742,1201,607.37,805.99
2024-07-21,1930,2528,2041,1757,1206,610.32,803.42
2024-07-22,1909,2494,2021,1759,1217,612.11,802.07
2024-07-23,1890,2506,2036,1768,1210,613.77,801.77
2024-07-24,1903,2525,2013,1752,1205,613.98,803.34
2024-07-25,1919,2555,2004,1752,1204,615.88,804.81
2024-07-26,1938,2537,1991,1761,1200,613.21,800.36
2024-07-27,1918,2513,1978,1745,1203,614.2,803.3
2024-07-28,1927,2498,1997,1758,1213,616.36,807.11
2024-07-29,1939,2496,2004,1747,1211,612.93,805.35
2024-07-30,1934,2528,2007,1742,1202,610.21,803.67
2024-07-31,1914,2534,2032,1746,1211,606.94,804.69
2024-08-01,1922,2538,2043,1733,1202,608.5,801.59
2024-08-02,1915,2538,2020,1732,1202,605.16,800.28
2024-08-03,1934,2509,2003,1720,1213,608.5,798.99
2024-08-04,1933,2527,1998,1716,1212,607.2,794.51
2024-08-05,1935,2557,2006,1713,1204,604.5,795.19
2024-08-06,1914,2582,2032,1713,1213,607.26,793.92
2024-08-07,1907,2591,2031,1715,1209,609.64,797.53
2024-08-08,1910,2556,2018,1714,1200,609.16,802.2
2024-08-09,1930,2578,1997,1716,1201,605.75,806.39
2024-08-10,1907,2593,2007,1727,1210,603.97,811.08
2024-08-11,1899,2570,1992,1713,1210,605.42,810.02
2024-08-12,1900,2592,1980,1709,1216,601.77,812.68
2024-08-13,1895,2559,1991,1693,1218,604.58,813.1
2024-08-14,1913,2545,1970,1689,1216,604.27,811.22
2024-08-15,1911,2514,1965,1679,1219,604.31,811.61
2024-08-16,1914,2493,1992,1692,1218,602.93,808.52
2024-08-17,1894,2503,2004,1703,1224,600.2,810.88
2024-08-18,1893,2533,2026,1693,1221,600.94,807.82
2024-08-19,1902,2545,2003,1701,1229,598.88,807.4
2024-08-20,1899,2512,2024,1704,1226,598.05,807.61
2024-08-21,1919,2504,2004,1719,1232,596.8,806.16
2024-08-22,1907,2512,2000,1721,1226,598.29,806.02
2024-08-23,1894,2523,1999,1732,1222,598.57,806.93
2024-08-24,1886,2497,2019,1735,1212,599.22,812.09
2024-08-25,1906,2465,2045,1732,1221,599.11,811.98
2024-08-26,1902,2490,2033,1728,1229,597.83,814.21
2024-08-27,1911,2508,2036,1739,1234,595.38,815.59
2024-08-28,1927,2515,2043,1751,1239,593.14,813.51
2024-08-29,1920,2533,2068,1753,1234,593.48,815.07
2024-08-30,1942,2501,2081,1743,1232,590.64,818.65
2024-08-31,1921,2478,2062,1759,1233,589.28,816.21
2024-09-01,1927,2469,2047,1745,1243,590.87,811.66
2024-09-02,1912,2480,2042,1760,1235,591.01,807.71
2024-09-03,1903,2511,2045,1742,1233,593.81,811.51
2024-09-04,1881,2509,2032,1737,1238,595.62,812.3
2024-09-05,1902,2487,2045,1736,1248,592.63,811.65
2024-09-06,1908,2461,2021,1720,1258,591.29,807.3
2024-09-07,1926,2485,2004,1723,1266,589.46,808.9
2024-09-08,1936,2507,2015,1710,1259,593.13,813.09
2024-09-09,1947,2533,2017,1702,1270,593.62,808.53
2024-09-10,1949,2541,1993,1704,1275,590.11,804.36
2024-09-11,1957,2515,1986,1717,1269,588.12,807.36
2024-09-12,1935,2515,1968,1715,1259,590.28,811.69
2024-09-13,1915,2540,1989,1712,1261,591.96,810.22
2024-09-14,1926,2560,1990,1719,1251,590.46,811.82
2024-09-15,1929,2558,2000,1732,1252,592.29,814.57
2024-09-16,1907,2565,1995,1733,1250,596.08,816.34
2024-09-17,1884,2541,1985,1730,1242,592.88,815.68
2024-09-18,1881,2550,1974,1717,1250,590.53,814.8
2024-09-19,1875,2517,1953,1703,1242,587.13,818.25
2024-09-20,1869,2546,1978,1712,1235,586.16,813.81
2024-09-21,1856,2557,1964,1727,1235,582.8,815.84
2024-09-22,1837,2559,1954,1715,1228,586.5,818.51
2024-09-23,1844,2562,1966,1724,1217,584.24,814.69
2024-09-24,1827,2585,1959,1732,1220,586.26,819.61
2024-09-25,1840,2607,1964,1720,1222,588.1,821.07
2024-09-26,1833,2620,1956,1712,1219,589.62,819.54
2024-09-27,1824,2624,1977,1710,1208,587.53,819.3
2024-09-28,1844,2595,1997,1717,1198,590.59,817.75
2024-09-29,1848,2616,1987,1712,1202,591.85,813.63
2024-09-30,1827,2647,1964,1728,1205,594.67,818.56
2024-10-01,1597,2301,1709,1507,1042,595.03,817.81
2024-10-02,1592,2325,1710,1499,1042,597.1,819.28
2024-10-03,1581,2340,1730,1485,1043,600.07,821.72
2024-10-04,1576,2316,1740,1490,1052,597.85,817.96
2024-10-05,1566,2325,1754,1489,1043,595.5,814.71
2024-10-06,1563,2339,1754,1483,1050,595.31,813.21
2024-10-07,1574,2319,1748,1469,1056,597.9,816.55
2024-10-08,1585,2318,1763,1478,1053,600.12,820.5
2024-10-09,1593,2324,1755,1486,1051,602.71,824.17
2024-10-10,1589,2351,1778,1475,1049,605.91,828.87
2024-10-11,1586,2329,1795,1484,1058,605.08,830.69
2024-10-12,1576,2354,1818,1484,1053,606.52,835.48
2024-10-13,1567,2381,1797,1498,1045,605.6,836.81
2024-10-14,1574,2393,1813,1506,1049,602.08,834.81
2024-10-15,1567,2366,1817,1502,1040,602.61,833.54
2024-10-16,1580,2388,1829,1487,1046,606.04,830.41
2024-10-17,1582,2375,1846,1501,1052,607.76,829.19
2024-10-18,1587,2349,1829,1504,1060,606.24,825.62
2024-10-19,1587,2333,1841,1514,1058,603.64,823.46
2024-10-20,1571,2342,1850,1528,1057,603.64,819.8
2024-10-21,1579,2321,1860,1530,1048,604.49,819.3
2024-10-22,1586,2298,1867,1519,1047,603.47,823.93
2024-10-23,1567,2271,1859,1512,1051,602.5,825.76
2024-10-24,1567,2297,1855,1510,1045,603.17,829.13
2024-10-25,1583,2286,1841,1519,1038,602.95,824.75
2024-10-26,1580,2298,1836,1529,1047,602.55,826.35
2024-10-27,1583,2277,1834,1516,1046,602.24,830.23
2024-10-28,1582,2282,1814,1504,1038,604.65,827.2
2024-10-29,1585,2279,1815,1495,1045,600.78,828.88
2024-10-30,1570,2264,1816,1494,1044,599.71,833.55
2024-10-31,1562,2264,1817,1504,1048,599.74,835.75
2024-11-01,1566,2279,1807,1508,1044,600.96,840.01
2024-11-02,1564,2255,1808,1511,1037,597.48,844.66
2024-11-03,1565,2253,1825,1523,1030,600.43,842.28
2024-11-04,1564,2232,1815,1534,1031,601.97,847.03
2024-11-05,1556,2223,1822,1528,1021,605.56,844.42
2024-11-06,1555,2193,1841,1525,1021,603.66,847.81
2024-11-07,1543,2171,1824,1536,1028,604.89,846.7
2024-11-08,1536,2157,1834,1521,1026,603.95,846.68
2024-11-09,1541,2157,1839,1516,1027,600.18,850.92
2024-11-10,1553,2139,1822,1525,1032,601.57,848.24
2024-11-11,1565,2163,1825,1523,1036,600.27,843.98
2024-11-12,1553,2178,1819,1518,1041,596.66,844.93
2024-11-13,1564,2158,1807,1507,1046,598.06,845.78
2024-11-14,1569,2164,1824,1498,1052,596.3,850.73
2024-11-15,1565,2137,1845,1509,1043,596.78,847.57
2024-11-16,1547,2130,1846,1499,1039,596.74,848.07
2024-11-17,1556,2147,1834,1509,1036,600.48,850.23
2024-11-18,1542,2162,1815,1505,1032,602,851.37
2024-11-19,1552,2137,1810,1516,1029,600.14,850.58
2024-11-20,1547,2144,1813,1510,1024,596.39,846.74
2024-11-21,1532,2170,1807,1499,1027,596.35,844.61
2024-11-22,1518,2144,1791,1496,1019,592.51,844.35
2024-11-23,1503,2145,1773,1494,1014,589.82,843.67
2024-11-24,1523,2119,1780,1489,1013,592.66,841.1
2024-11-25,1508,2121,1792,1497,1007,593.51,839.93
2024-11-26,1495,2120,1790,1511,1012,596.3,842.43
2024-11-27,1500,2143,1785,1500,1003,598.55,841.94
2024-11-28,1504,2129,1781,1510,1001,597.19,843.1
2024-11-29,1495,2151,1795,1499,999,599.3,838.16
2024-11-30,1502,2160,1815,1496,1002,600.55,839.84
